,ko,target,log2FoldChange
23442,noB_Plate15,ENSMUSG00000022667,-1.00526230377964
23443,noB_Plate15,ENSMUSG00000022686,1.7583941019890401
23444,noB_Plate15,ENSMUSG00000022698,0.323304468813904
23446,noB_Plate15,ENSMUSG00000022781,0.392573140027003
23447,noB_Plate15,ENSMUSG00000022788,0.39504671000202096
23448,noB_Plate15,ENSMUSG00000022799,0.326547837836172
23449,noB_Plate15,ENSMUSG00000022817,0.6491048418504921
23450,noB_Plate15,ENSMUSG00000022824,-0.45627119530869104
23451,noB_Plate15,ENSMUSG00000022848,-0.33979197501796904
23452,noB_Plate15,ENSMUSG00000022849,-0.406249052727997
23453,noB_Plate15,ENSMUSG00000022861,0.6799547517691171
23454,noB_Plate15,ENSMUSG00000022864,-0.234587996511156
23455,noB_Plate15,ENSMUSG00000022876,-0.48024002251704
23456,noB_Plate15,ENSMUSG00000022881,0.210821248873964
23458,noB_Plate15,ENSMUSG00000022898,-0.394102819944296
23459,noB_Plate15,ENSMUSG00000022952,0.5045822920494529
23460,noB_Plate15,ENSMUSG00000022957,-1.1594940767295199
23461,noB_Plate15,ENSMUSG00000022962,0.235954216788642
23463,noB_Plate15,ENSMUSG00000022978,0.310919185741831
23464,noB_Plate15,ENSMUSG00000022994,-1.4577149354235601
23465,noB_Plate15,ENSMUSG00000023008,0.41692347648250794
23466,noB_Plate15,ENSMUSG00000023048,-0.28705319825382297
23467,noB_Plate15,ENSMUSG00000023066,-0.567338392835449
23469,noB_Plate15,ENSMUSG00000023088,0.233190731504638
23471,noB_Plate15,ENSMUSG00000023110,0.30728910732986603
23472,noB_Plate15,ENSMUSG00000023150,0.266283759446811
23473,noB_Plate15,ENSMUSG00000023175,-0.263208891200717
23474,noB_Plate15,ENSMUSG00000023186,0.330773338496388
23476,noB_Plate15,ENSMUSG00000023393,-0.345138591094221
23478,noB_Plate15,ENSMUSG00000023723,-0.42412776252480894
23479,noB_Plate15,ENSMUSG00000023827,-1.63157479466756
23480,noB_Plate15,ENSMUSG00000023832,-0.6266198986173079
23482,noB_Plate15,ENSMUSG00000023923,0.390200069830651
23485,noB_Plate15,ENSMUSG00000023951,0.53430543624816
23486,noB_Plate15,ENSMUSG00000023966,-0.665523442055425
23487,noB_Plate15,ENSMUSG00000023988,0.250714095659622
23488,noB_Plate15,ENSMUSG00000024013,0.8674208448976821
23491,noB_Plate15,ENSMUSG00000024150,-0.276089269329427
23492,noB_Plate15,ENSMUSG00000024180,-1.7936861844177199
23494,noB_Plate15,ENSMUSG00000024197,-0.7102704261439019
23495,noB_Plate15,ENSMUSG00000024219,0.28832577322065
23497,noB_Plate15,ENSMUSG00000024238,-0.5782472134309561
23499,noB_Plate15,ENSMUSG00000024277,0.41608864352228203
