,target,log2FoldChange
309,ENSMUSG00000024659,-0.331150165631877
310,ENSMUSG00000024681,-0.726179385274394
313,ENSMUSG00000024899,-0.677827427290107
315,ENSMUSG00000024965,-0.21484414477335398
316,ENSMUSG00000024975,-0.225182872395212
317,ENSMUSG00000024985,0.282472500107641
318,ENSMUSG00000025014,1.1004575189555401
319,ENSMUSG00000025041,-0.23507946511658703
320,ENSMUSG00000025059,-0.278917605118304
321,ENSMUSG00000025076,0.544714803484417
322,ENSMUSG00000025089,0.249087065853094
325,ENSMUSG00000025227,-0.344467386367331
326,ENSMUSG00000025260,0.40713729574945
327,ENSMUSG00000025277,0.561455736689487
328,ENSMUSG00000025278,-0.4331564495524
330,ENSMUSG00000025323,0.485402289385046
332,ENSMUSG00000025464,-0.42934638207791204
333,ENSMUSG00000025491,0.23483933148428798
334,ENSMUSG00000025579,-0.238351990511855
335,ENSMUSG00000025626,0.259248605996334
336,ENSMUSG00000025650,1.5877767503923201
337,ENSMUSG00000025780,0.3703990528041521
338,ENSMUSG00000025790,-0.37303781176223205
339,ENSMUSG00000025810,-0.207829364296287
341,ENSMUSG00000025877,-0.38156009642489597
343,ENSMUSG00000025950,-0.404640908161451
345,ENSMUSG00000026047,-0.26910724622571597
347,ENSMUSG00000026126,0.20759123479003103
349,ENSMUSG00000026187,0.45237775785292106
351,ENSMUSG00000026223,-0.37772869038618
352,ENSMUSG00000026235,0.969556388248543
353,ENSMUSG00000026255,1.2795456704693
354,ENSMUSG00000026288,0.209170363769319
355,ENSMUSG00000026308,1.38298797408483
356,ENSMUSG00000026321,2.2584387366957204
358,ENSMUSG00000026358,0.576001419450452
359,ENSMUSG00000026360,0.5818731630278741
362,ENSMUSG00000026463,0.30706036658746505
363,ENSMUSG00000026475,2.36984761637235
364,ENSMUSG00000026482,0.9194332091926479
365,ENSMUSG00000026491,-0.23430593369019895
371,ENSMUSG00000026672,0.41251058386744394
373,ENSMUSG00000026755,0.338621575794326
374,ENSMUSG00000026768,1.42283538045371
375,ENSMUSG00000026815,0.35295469612977604
376,ENSMUSG00000026826,1.1448490812623
377,ENSMUSG00000026832,0.513068284442294
378,ENSMUSG00000026833,0.46681239363259003
381,ENSMUSG00000026879,0.616604587840542
382,ENSMUSG00000026880,-0.543684508782315
383,ENSMUSG00000026893,-0.7091665606309431
384,ENSMUSG00000026896,-0.543840151443849
385,ENSMUSG00000026921,1.65523970330793
386,ENSMUSG00000026928,-0.33953679059556297
388,ENSMUSG00000027006,-0.219875419490954
389,ENSMUSG00000027071,0.506916762366908
390,ENSMUSG00000027165,0.415111384776687
392,ENSMUSG00000027215,-0.382719400944445
394,ENSMUSG00000027304,0.262205976665792
396,ENSMUSG00000027340,0.44171669354349896
397,ENSMUSG00000027351,0.32470184472265995
398,ENSMUSG00000027360,-2.32552669806946
399,ENSMUSG00000027363,0.228351137889276
400,ENSMUSG00000027395,-0.21921685784954997
402,ENSMUSG00000027435,0.34064978512736604
403,ENSMUSG00000027490,-0.289878696187024
405,ENSMUSG00000027540,0.23836591192071
408,ENSMUSG00000027636,1.5944052870012
409,ENSMUSG00000027712,-0.236058258220957
410,ENSMUSG00000027750,2.4565806212351404
411,ENSMUSG00000027776,0.37157374517183794
412,ENSMUSG00000027808,-0.210772701733791
414,ENSMUSG00000027905,-0.329757555444705
415,ENSMUSG00000027947,-0.531548267311034
416,ENSMUSG00000027997,0.48783517282458394
418,ENSMUSG00000028048,-0.23250802710206098
419,ENSMUSG00000028064,-0.461055527800217
421,ENSMUSG00000028159,-0.474405161630071
422,ENSMUSG00000028207,0.214503608500029
423,ENSMUSG00000028214,0.5539473591491539
424,ENSMUSG00000028218,0.35896616923193797
426,ENSMUSG00000028245,-0.22385846717525001
427,ENSMUSG00000028247,-0.363526024041334
