,SLX.13007.i701_i502,SLX.13007.i701_i503
ENSMUSG00000006395,9,15
ENSMUSG00000006398,254,232
ENSMUSG00000006412,50,61
ENSMUSG00000006418,206,199
ENSMUSG00000006423,79,58
ENSMUSG00000006442,637,481
ENSMUSG00000006456,129,104
ENSMUSG00000006463,19,24
ENSMUSG00000006464,16,7
ENSMUSG00000006471,14,23
ENSMUSG00000006476,32,28
ENSMUSG00000006494,170,159
ENSMUSG00000006498,503,489
ENSMUSG00000006517,60,48
ENSMUSG00000006519,436,311
ENSMUSG00000006526,49,24
ENSMUSG00000006527,67,44
ENSMUSG00000006585,283,184
ENSMUSG00000006589,267,200
ENSMUSG00000006599,128,97
ENSMUSG00000006611,23,16
ENSMUSG00000006641,16,10
ENSMUSG00000006673,203,205
ENSMUSG00000006675,5,5
ENSMUSG00000006676,254,252
ENSMUSG00000006678,371,263
ENSMUSG00000006699,704,587
ENSMUSG00000006705,125,99
ENSMUSG00000006715,205,172
ENSMUSG00000006717,46,25
ENSMUSG00000006720,36,15
ENSMUSG00000006728,1471,1045
ENSMUSG00000006731,174,156
ENSMUSG00000006732,84,58
ENSMUSG00000006736,184,103
ENSMUSG00000006740,507,480
ENSMUSG00000006763,121,81
ENSMUSG00000006782,75,78
ENSMUSG00000006800,4,3
ENSMUSG00000006818,276,201
ENSMUSG00000006850,30,42
ENSMUSG00000006906,47,54
ENSMUSG00000006920,66,48
ENSMUSG00000006932,334,320
ENSMUSG00000006941,69,66
ENSMUSG00000006998,409,241
ENSMUSG00000007029,543,493
ENSMUSG00000007034,1,0
ENSMUSG00000007035,4,5
ENSMUSG00000007036,101,48
ENSMUSG00000007038,45,53
ENSMUSG00000007039,55,56
ENSMUSG00000007041,662,511
ENSMUSG00000007050,100,93
ENSMUSG00000007080,189,202
ENSMUSG00000007122,0,5
ENSMUSG00000007216,14,11
ENSMUSG00000007338,168,102
ENSMUSG00000007379,9,13
ENSMUSG00000007411,150,118
ENSMUSG00000007415,110,105
ENSMUSG00000007458,361,268
ENSMUSG00000007476,7,11
ENSMUSG00000007480,0,10
ENSMUSG00000007564,306,315
ENSMUSG00000007570,60,44
ENSMUSG00000007589,90,60
ENSMUSG00000007603,121,85
ENSMUSG00000007610,29,27
ENSMUSG00000007613,93,64
ENSMUSG00000007617,29,25
ENSMUSG00000007646,21,6
ENSMUSG00000007655,6,7
ENSMUSG00000007656,164,117
ENSMUSG00000007659,48,57
ENSMUSG00000007670,139,138
ENSMUSG00000007721,106,91
ENSMUSG00000007739,1006,747
ENSMUSG00000007777,57,44
ENSMUSG00000007812,81,84
ENSMUSG00000007815,262,189
ENSMUSG00000007817,304,304
ENSMUSG00000007827,99,95
ENSMUSG00000007833,108,101
ENSMUSG00000007836,191,210
ENSMUSG00000007837,2,1
ENSMUSG00000007850,696,652
ENSMUSG00000007867,0,1
ENSMUSG00000007880,561,568
ENSMUSG00000007891,214,170
ENSMUSG00000007892,880,628
ENSMUSG00000007908,176,149
ENSMUSG00000007950,51,43
ENSMUSG00000007987,78,47
ENSMUSG00000008035,101,97
ENSMUSG00000008036,128,102
ENSMUSG00000008090,4,2
ENSMUSG00000008140,162,115
ENSMUSG00000008167,33,9
ENSMUSG00000008200,213,198
ENSMUSG00000008206,2,9
ENSMUSG00000008226,29,32
ENSMUSG00000008301,167,113
ENSMUSG00000008305,28,24
ENSMUSG00000008307,34,30
ENSMUSG00000008318,63,54
ENSMUSG00000008333,147,93
ENSMUSG00000008348,146,135
ENSMUSG00000008373,227,186
ENSMUSG00000008384,29,13
ENSMUSG00000008393,27,20
ENSMUSG00000008398,159,145
ENSMUSG00000008429,62,35
ENSMUSG00000008435,53,40
ENSMUSG00000008450,3,8
ENSMUSG00000008475,522,453
ENSMUSG00000008496,26,26
ENSMUSG00000008604,141,202
ENSMUSG00000008668,278,200
ENSMUSG00000008682,40,29
ENSMUSG00000008683,498,358
ENSMUSG00000008690,356,320
ENSMUSG00000008730,278,229
ENSMUSG00000008763,165,117
ENSMUSG00000008822,43,26
ENSMUSG00000008845,14,5
ENSMUSG00000008855,76,61
ENSMUSG00000008859,78,65
ENSMUSG00000008892,86,62
ENSMUSG00000008958,90,73
ENSMUSG00000008976,87,76
ENSMUSG00000009013,291,220
ENSMUSG00000009030,118,92
ENSMUSG00000009035,42,41
ENSMUSG00000009073,198,140
ENSMUSG00000009076,35,34
ENSMUSG00000009079,312,226
ENSMUSG00000009090,93,78
ENSMUSG00000009092,0,3
ENSMUSG00000009108,9,2
ENSMUSG00000009112,140,135
ENSMUSG00000009145,3,0
ENSMUSG00000009207,77,43
ENSMUSG00000009248,0,0
ENSMUSG00000009291,160,183
ENSMUSG00000009292,29,26
ENSMUSG00000009293,115,79
ENSMUSG00000009350,401,244
ENSMUSG00000009376,45,34
ENSMUSG00000009378,49,52
ENSMUSG00000009406,29,15
ENSMUSG00000009418,22,5
ENSMUSG00000009470,293,213
ENSMUSG00000009535,216,227
ENSMUSG00000009549,275,194
ENSMUSG00000009555,220,176
ENSMUSG00000009563,50,67
ENSMUSG00000009566,74,45
ENSMUSG00000009569,74,63
ENSMUSG00000009575,1006,985
ENSMUSG00000009585,329,258
ENSMUSG00000009614,2,9
ENSMUSG00000009621,22,27
ENSMUSG00000009628,1,0
ENSMUSG00000009630,213,186
ENSMUSG00000009640,49,47
ENSMUSG00000009647,54,45
ENSMUSG00000009681,186,172
ENSMUSG00000009687,439,328
ENSMUSG00000009733,25,12
ENSMUSG00000009741,105,109
ENSMUSG00000009772,42,30
ENSMUSG00000009828,48,60
ENSMUSG00000009863,383,334
ENSMUSG00000009894,61,66
ENSMUSG00000009905,134,91
ENSMUSG00000009907,301,235
ENSMUSG00000009927,203,165
ENSMUSG00000009995,146,96
ENSMUSG00000010021,1,6
ENSMUSG00000010025,27,50
ENSMUSG00000010045,59,49
ENSMUSG00000010047,46,42
ENSMUSG00000010048,114,109
ENSMUSG00000010054,17,32
ENSMUSG00000010057,38,38
ENSMUSG00000010067,15,22
ENSMUSG00000010095,300,259
ENSMUSG00000010097,394,247
ENSMUSG00000010110,115,87
