,SLX.13007.i701_i502,SLX.13007.i701_i503
ENSMUSG00000031983,35,40
ENSMUSG00000031984,133,99
ENSMUSG00000031985,262,271
ENSMUSG00000031986,90,58
ENSMUSG00000031987,170,182
ENSMUSG00000031988,87,67
ENSMUSG00000031990,0,0
ENSMUSG00000031993,90,70
ENSMUSG00000031995,60,31
ENSMUSG00000031996,76,95
ENSMUSG00000032000,38,37
ENSMUSG00000032002,329,252
ENSMUSG00000032009,54,30
ENSMUSG00000032010,13,18
ENSMUSG00000032011,2,3
ENSMUSG00000032014,1,2
ENSMUSG00000032018,97,89
ENSMUSG00000032020,109,89
ENSMUSG00000032026,150,120
ENSMUSG00000032030,155,111
ENSMUSG00000032038,47,52
ENSMUSG00000032040,136,84
ENSMUSG00000032041,13,6
ENSMUSG00000032042,168,149
ENSMUSG00000032044,75,36
ENSMUSG00000032046,78,72
ENSMUSG00000032047,356,298
ENSMUSG00000032050,401,322
ENSMUSG00000032051,28,16
ENSMUSG00000032058,168,148
ENSMUSG00000032059,97,88
ENSMUSG00000032067,112,104
ENSMUSG00000032076,18,8
ENSMUSG00000032077,53,28
ENSMUSG00000032078,147,106
ENSMUSG00000032086,263,222
ENSMUSG00000032089,0,5
ENSMUSG00000032096,310,192
ENSMUSG00000032097,368,321
ENSMUSG00000032109,18,6
ENSMUSG00000032112,179,115
ENSMUSG00000032113,110,90
ENSMUSG00000032114,63,60
ENSMUSG00000032115,272,274
ENSMUSG00000032116,587,448
ENSMUSG00000032119,83,78
ENSMUSG00000032120,26,39
ENSMUSG00000032121,14,19
ENSMUSG00000032122,2,0
ENSMUSG00000032123,182,116
ENSMUSG00000032126,101,81
ENSMUSG00000032127,79,67
ENSMUSG00000032171,198,165
ENSMUSG00000032175,75,68
ENSMUSG00000032177,83,62
ENSMUSG00000032178,491,452
ENSMUSG00000032180,105,69
ENSMUSG00000032182,56,42
ENSMUSG00000032185,141,140
ENSMUSG00000032187,628,508
ENSMUSG00000032192,4,0
ENSMUSG00000032193,232,183
ENSMUSG00000032194,11,15
ENSMUSG00000032198,17,22
ENSMUSG00000032199,299,308
ENSMUSG00000032202,50,53
ENSMUSG00000032204,7,2
ENSMUSG00000032212,385,340
ENSMUSG00000032215,109,90
ENSMUSG00000032216,1761,1549
ENSMUSG00000032217,128,121
ENSMUSG00000032218,399,274
ENSMUSG00000032220,7,12
ENSMUSG00000032221,39,60
ENSMUSG00000032228,158,130
ENSMUSG00000032231,1056,768
ENSMUSG00000032235,65,31
ENSMUSG00000032239,200,130
ENSMUSG00000032244,129,183
ENSMUSG00000032245,109,99
ENSMUSG00000032246,0,1
ENSMUSG00000032249,240,178
ENSMUSG00000032251,26,15
ENSMUSG00000032252,34,32
ENSMUSG00000032253,460,359
ENSMUSG00000032254,178,133
ENSMUSG00000032258,5,6
ENSMUSG00000032263,32,35
ENSMUSG00000032264,62,50
ENSMUSG00000032265,307,206
ENSMUSG00000032267,56,41
ENSMUSG00000032278,31,27
ENSMUSG00000032279,354,289
ENSMUSG00000032280,37,40
ENSMUSG00000032281,8,7
ENSMUSG00000032288,188,126
ENSMUSG00000032290,64,63
ENSMUSG00000032293,195,178
ENSMUSG00000032294,1153,1019
ENSMUSG00000032295,107,75
ENSMUSG00000032298,25,8
ENSMUSG00000032299,138,117
ENSMUSG00000032300,171,164
ENSMUSG00000032301,199,170
ENSMUSG00000032305,23,21
ENSMUSG00000032306,53,46
ENSMUSG00000032307,44,41
ENSMUSG00000032308,1,9
ENSMUSG00000032309,108,88
ENSMUSG00000032311,5,6
ENSMUSG00000032312,331,309
ENSMUSG00000032314,261,185
ENSMUSG00000032316,137,108
ENSMUSG00000032320,218,156
ENSMUSG00000032322,60,60
ENSMUSG00000032324,259,159
ENSMUSG00000032328,290,328
ENSMUSG00000032329,132,79
ENSMUSG00000032330,338,225
ENSMUSG00000032333,20,31
ENSMUSG00000032336,196,142
ENSMUSG00000032342,76,39
ENSMUSG00000032344,85,75
ENSMUSG00000032348,8,10
ENSMUSG00000032349,213,207
ENSMUSG00000032350,113,84
ENSMUSG00000032352,6,7
ENSMUSG00000032353,136,100
ENSMUSG00000032366,69,55
ENSMUSG00000032369,209,177
ENSMUSG00000032370,75,39
ENSMUSG00000032373,9,4
ENSMUSG00000032374,563,463
ENSMUSG00000032376,100,114
ENSMUSG00000032377,33,31
ENSMUSG00000032381,530,384
ENSMUSG00000032382,264,230
ENSMUSG00000032383,119,89
ENSMUSG00000032384,159,103
ENSMUSG00000032386,44,66
ENSMUSG00000032387,59,68
ENSMUSG00000032388,130,106
ENSMUSG00000032392,29,33
ENSMUSG00000032393,219,233
ENSMUSG00000032396,65,70
ENSMUSG00000032397,564,436
ENSMUSG00000032398,50,35
ENSMUSG00000032399,6257,5027
ENSMUSG00000032400,95,114
ENSMUSG00000032402,67,43
ENSMUSG00000032403,25,16
ENSMUSG00000032405,113,131
ENSMUSG00000032407,570,532
ENSMUSG00000032409,183,159
ENSMUSG00000032410,138,55
ENSMUSG00000032411,132,114
ENSMUSG00000032412,629,450
ENSMUSG00000032413,91,77
ENSMUSG00000032415,13,5
ENSMUSG00000032420,0,6
ENSMUSG00000032422,38,30
ENSMUSG00000032423,375,285
ENSMUSG00000032425,28,13
ENSMUSG00000032431,134,156
ENSMUSG00000032434,164,129
ENSMUSG00000032435,87,68
ENSMUSG00000032436,1229,1018
ENSMUSG00000032437,417,329
ENSMUSG00000032440,64,50
ENSMUSG00000032449,131,134
ENSMUSG00000032456,44,24
ENSMUSG00000032458,299,263
ENSMUSG00000032459,125,64
ENSMUSG00000032462,70,62
ENSMUSG00000032463,62,67
ENSMUSG00000032468,102,85
ENSMUSG00000032469,113,47
ENSMUSG00000032475,43,79
ENSMUSG00000032477,141,139
ENSMUSG00000032478,57,30
ENSMUSG00000032479,190,163
ENSMUSG00000032480,182,133
ENSMUSG00000032481,757,733
ENSMUSG00000032485,95,71
ENSMUSG00000032492,0,1
ENSMUSG00000032497,76,63
ENSMUSG00000032498,110,89
ENSMUSG00000032501,3,7
ENSMUSG00000032503,10,3
ENSMUSG00000032504,356,299
ENSMUSG00000032507,0,3
ENSMUSG00000032508,55,55
ENSMUSG00000032512,137,100
ENSMUSG00000032513,18,14
ENSMUSG00000032515,5,4
ENSMUSG00000032518,166,106
ENSMUSG00000032519,25,17
ENSMUSG00000032525,399,318
ENSMUSG00000032526,43,35
ENSMUSG00000032527,70,28
ENSMUSG00000032528,3,9
ENSMUSG00000032534,38,37
ENSMUSG00000032536,150,123
ENSMUSG00000032540,42,31
ENSMUSG00000032547,1,2
ENSMUSG00000032549,9,12
ENSMUSG00000032551,37,40
ENSMUSG00000032553,94,73
ENSMUSG00000032554,22,28
ENSMUSG00000032555,579,523
ENSMUSG00000032557,90,114
ENSMUSG00000032558,11,8
ENSMUSG00000032560,153,119
ENSMUSG00000032561,3,3
ENSMUSG00000032562,1199,980
ENSMUSG00000032563,174,153
ENSMUSG00000032565,27,32
ENSMUSG00000032567,28,14
ENSMUSG00000032570,53,48
ENSMUSG00000032571,109,79
ENSMUSG00000032575,350,253
ENSMUSG00000032577,393,297
ENSMUSG00000032578,8,7
ENSMUSG00000032579,28,11
ENSMUSG00000032580,462,401
ENSMUSG00000032582,189,175
ENSMUSG00000032583,26,18
ENSMUSG00000032586,77,54
ENSMUSG00000032589,78,27
ENSMUSG00000032590,103,103
ENSMUSG00000032591,0,8
ENSMUSG00000032593,3,5
ENSMUSG00000032594,112,60
ENSMUSG00000032595,5,0
ENSMUSG00000032596,95,58
ENSMUSG00000032598,10,15
ENSMUSG00000032599,11,29
ENSMUSG00000032601,106,79
ENSMUSG00000032602,11,22
ENSMUSG00000032604,423,337
ENSMUSG00000032606,17,8
ENSMUSG00000032609,1,0
ENSMUSG00000032612,305,211
ENSMUSG00000032615,43,35
ENSMUSG00000032621,269,220
ENSMUSG00000032624,210,181
ENSMUSG00000032633,114,93
ENSMUSG00000032637,367,330
ENSMUSG00000032640,755,752
ENSMUSG00000032641,4,27
ENSMUSG00000032643,44,42
ENSMUSG00000032648,3,6
ENSMUSG00000032652,6,0
ENSMUSG00000032656,8,6
ENSMUSG00000032657,22,13
ENSMUSG00000032661,3,11
ENSMUSG00000032666,93,80
ENSMUSG00000032667,100,59
ENSMUSG00000032673,65,54
ENSMUSG00000032688,61,57
ENSMUSG00000032691,1,2
ENSMUSG00000032698,773,705
ENSMUSG00000032705,57,49
ENSMUSG00000032712,116,97
ENSMUSG00000032715,0,0
ENSMUSG00000032717,1,3
ENSMUSG00000032727,119,88
ENSMUSG00000032733,9,18
ENSMUSG00000032737,32,23
ENSMUSG00000032740,157,125
ENSMUSG00000032741,87,63
ENSMUSG00000032743,75,40
ENSMUSG00000032745,154,98
ENSMUSG00000032750,9,2
ENSMUSG00000032754,12,22
ENSMUSG00000032757,86,86
ENSMUSG00000032763,20,24
ENSMUSG00000032769,0,9
ENSMUSG00000032777,278,330
ENSMUSG00000032782,54,33
ENSMUSG00000032783,66,34
ENSMUSG00000032786,97,116
ENSMUSG00000032788,93,115
ENSMUSG00000032802,15,6
ENSMUSG00000032803,155,113
ENSMUSG00000032806,94,71
ENSMUSG00000032812,127,119
ENSMUSG00000032815,53,52
ENSMUSG00000032834,70,45
ENSMUSG00000032840,27,13
ENSMUSG00000032842,6,10
ENSMUSG00000032846,10,16
ENSMUSG00000032849,147,124
ENSMUSG00000032855,126,73
ENSMUSG00000032860,91,104
ENSMUSG00000032864,197,205
ENSMUSG00000032867,80,116
ENSMUSG00000032869,124,59
ENSMUSG00000032870,27,36
ENSMUSG00000032872,80,76
ENSMUSG00000032875,20,23
ENSMUSG00000032883,80,96
ENSMUSG00000032897,50,37
ENSMUSG00000032898,45,33
ENSMUSG00000032902,179,113
ENSMUSG00000032905,216,167
ENSMUSG00000032908,6,1
ENSMUSG00000032913,73,77
ENSMUSG00000032932,160,148
ENSMUSG00000032939,203,172
ENSMUSG00000032946,149,145
ENSMUSG00000032952,3,6
ENSMUSG00000032959,266,194
ENSMUSG00000032965,322,240
ENSMUSG00000032966,573,466
ENSMUSG00000032977,51,42
ENSMUSG00000032997,1,2
ENSMUSG00000032998,91,73
ENSMUSG00000033004,403,344
ENSMUSG00000033009,58,62
ENSMUSG00000033014,112,103
ENSMUSG00000033016,128,104
ENSMUSG00000033020,165,101
ENSMUSG00000033021,71,52
ENSMUSG00000033022,3,0
ENSMUSG00000033031,152,185
ENSMUSG00000033032,57,55
ENSMUSG00000033033,8,17
ENSMUSG00000033039,18,16
ENSMUSG00000033047,709,510
ENSMUSG00000033054,191,153
ENSMUSG00000033055,107,85
ENSMUSG00000033059,50,67
ENSMUSG00000033065,72,55
ENSMUSG00000033066,12,8
ENSMUSG00000033068,78,46
ENSMUSG00000033075,222,115
ENSMUSG00000033083,42,36
ENSMUSG00000033088,81,70
ENSMUSG00000033096,133,124
ENSMUSG00000033099,95,66
ENSMUSG00000033102,50,39
ENSMUSG00000033105,89,53
ENSMUSG00000033106,60,65
ENSMUSG00000033107,12,10
ENSMUSG00000033111,21,29
ENSMUSG00000033114,2,2
ENSMUSG00000033124,49,62
ENSMUSG00000033126,5,10
ENSMUSG00000033128,78,49
ENSMUSG00000033147,1,3
ENSMUSG00000033157,42,40
ENSMUSG00000033159,98,71
ENSMUSG00000033161,265,225
ENSMUSG00000033166,113,109
ENSMUSG00000033170,1,0
ENSMUSG00000033177,17,11
ENSMUSG00000033184,282,285
ENSMUSG00000033186,96,88
ENSMUSG00000033192,215,202
ENSMUSG00000033209,9,14
ENSMUSG00000033213,1,0
ENSMUSG00000033216,95,70
ENSMUSG00000033220,1181,991
ENSMUSG00000033222,105,93
ENSMUSG00000033228,473,409
ENSMUSG00000033233,3,12
ENSMUSG00000033237,220,230
ENSMUSG00000033253,141,69
ENSMUSG00000033256,8,2
ENSMUSG00000033257,85,103
ENSMUSG00000033272,212,213
ENSMUSG00000033278,294,248
ENSMUSG00000033282,33,22
ENSMUSG00000033285,240,127
ENSMUSG00000033287,11,23
ENSMUSG00000033294,159,98
ENSMUSG00000033306,46,43
ENSMUSG00000033307,332,280
ENSMUSG00000033313,36,5
ENSMUSG00000033318,27,32
ENSMUSG00000033319,155,135
ENSMUSG00000033323,77,102
ENSMUSG00000033326,36,41
ENSMUSG00000033327,1,1
ENSMUSG00000033335,233,223
ENSMUSG00000033350,0,1
ENSMUSG00000033352,184,172
ENSMUSG00000033355,42,25
ENSMUSG00000033356,43,35
ENSMUSG00000033364,198,166
ENSMUSG00000033365,50,53
ENSMUSG00000033373,35,38
ENSMUSG00000033379,211,148
ENSMUSG00000033382,81,87
ENSMUSG00000033386,119,96
ENSMUSG00000033392,207,212
ENSMUSG00000033396,64,81
ENSMUSG00000033400,45,44
ENSMUSG00000033411,107,88
ENSMUSG00000033416,52,33
ENSMUSG00000033417,107,96
ENSMUSG00000033420,0,1
ENSMUSG00000033423,165,137
ENSMUSG00000033429,48,43
ENSMUSG00000033430,38,43
ENSMUSG00000033434,16,7
ENSMUSG00000033436,21,19
ENSMUSG00000033439,29,31
ENSMUSG00000033444,165,148
ENSMUSG00000033446,39,66
ENSMUSG00000033450,2,1
ENSMUSG00000033454,149,110
ENSMUSG00000033458,6,3
ENSMUSG00000033460,29,47
ENSMUSG00000033467,50,46
ENSMUSG00000033478,81,66
ENSMUSG00000033486,4,1
ENSMUSG00000033487,225,206
ENSMUSG00000033488,28,17
ENSMUSG00000033499,279,189
ENSMUSG00000033502,27,25
ENSMUSG00000033526,9,19
ENSMUSG00000033530,83,65
ENSMUSG00000033538,16,3
ENSMUSG00000033540,29,18
ENSMUSG00000033543,113,121
ENSMUSG00000033545,210,182
ENSMUSG00000033554,129,74
ENSMUSG00000033557,108,81
ENSMUSG00000033589,89,78
ENSMUSG00000033594,4,7
ENSMUSG00000033596,104,115
ENSMUSG00000033610,20,22
ENSMUSG00000033623,118,78
ENSMUSG00000033624,43,59
ENSMUSG00000033628,135,130
ENSMUSG00000033629,129,139
ENSMUSG00000033632,34,32
ENSMUSG00000033644,2,5
ENSMUSG00000033653,29,38
ENSMUSG00000033658,44,35
ENSMUSG00000033669,4,11
ENSMUSG00000033671,265,235
ENSMUSG00000033684,34,24
ENSMUSG00000033685,1753,1457
ENSMUSG00000033697,45,24
ENSMUSG00000033701,75,64
ENSMUSG00000033703,16,15
ENSMUSG00000033705,6,13
ENSMUSG00000033706,135,150
ENSMUSG00000033712,126,100
ENSMUSG00000033713,156,83
ENSMUSG00000033720,3,4
ENSMUSG00000033721,361,292
ENSMUSG00000033728,67,77
ENSMUSG00000033732,555,376
ENSMUSG00000033735,6,6
ENSMUSG00000033739,8,8
ENSMUSG00000033751,62,33
ENSMUSG00000033752,16,10
ENSMUSG00000033760,118,78
ENSMUSG00000033762,14,11
ENSMUSG00000033767,156,141
ENSMUSG00000033769,1,1
ENSMUSG00000033773,57,38
ENSMUSG00000033777,0,2
ENSMUSG00000033781,11,3
ENSMUSG00000033790,80,37
ENSMUSG00000033792,42,49
ENSMUSG00000033793,168,139
ENSMUSG00000033799,186,217
ENSMUSG00000033808,49,70
ENSMUSG00000033809,88,60
ENSMUSG00000033813,26,37
ENSMUSG00000033819,28,30
ENSMUSG00000033845,242,193
ENSMUSG00000033849,16,12
ENSMUSG00000033857,16,10
ENSMUSG00000033862,11,15
ENSMUSG00000033863,14,20
ENSMUSG00000033871,16,13
ENSMUSG00000033880,103,93
ENSMUSG00000033883,20,12
ENSMUSG00000033885,135,126
ENSMUSG00000033900,46,69
ENSMUSG00000033902,23,19
ENSMUSG00000033904,43,61
ENSMUSG00000033909,101,112
ENSMUSG00000033916,177,127
ENSMUSG00000033917,117,79
ENSMUSG00000033918,216,152
ENSMUSG00000033931,80,88
ENSMUSG00000033933,45,53
ENSMUSG00000033938,316,222
ENSMUSG00000033940,337,252
ENSMUSG00000033943,254,217
ENSMUSG00000033949,10,6
ENSMUSG00000033952,134,116
ENSMUSG00000033953,85,74
ENSMUSG00000033955,6,0
ENSMUSG00000033961,28,25
ENSMUSG00000033964,63,43
ENSMUSG00000033967,6,0
ENSMUSG00000033970,119,93
ENSMUSG00000033972,40,52
ENSMUSG00000033983,43,54
ENSMUSG00000033985,2,5
ENSMUSG00000033987,2,4
ENSMUSG00000033991,122,71
ENSMUSG00000034006,30,25
ENSMUSG00000034007,69,42
ENSMUSG00000034021,194,225
ENSMUSG00000034022,258,252
ENSMUSG00000034023,108,100
ENSMUSG00000034024,1037,781
ENSMUSG00000034032,150,114
ENSMUSG00000034035,1,7
ENSMUSG00000034041,88,68
ENSMUSG00000034042,62,52
ENSMUSG00000034055,0,3
ENSMUSG00000034064,156,125
ENSMUSG00000034066,10,4
ENSMUSG00000034071,12,3
ENSMUSG00000034075,101,100
ENSMUSG00000034083,52,31
ENSMUSG00000034088,589,391
ENSMUSG00000034101,13,10
ENSMUSG00000034105,2,2
ENSMUSG00000034108,108,47
ENSMUSG00000034109,181,118
ENSMUSG00000034110,12,15
ENSMUSG00000034111,58,26
ENSMUSG00000034116,245,172
ENSMUSG00000034118,9,14
ENSMUSG00000034120,789,655
ENSMUSG00000034121,16,29
ENSMUSG00000034126,26,44
ENSMUSG00000034135,112,133
ENSMUSG00000034152,155,149
ENSMUSG00000034154,65,59
ENSMUSG00000034156,59,21
ENSMUSG00000034157,76,65
ENSMUSG00000034158,395,383
ENSMUSG00000034160,718,691
ENSMUSG00000034163,184,97
ENSMUSG00000034164,160,138
ENSMUSG00000034165,294,179
ENSMUSG00000034168,22,30
ENSMUSG00000034171,9,4
ENSMUSG00000034173,3,6
ENSMUSG00000034175,72,48
ENSMUSG00000034187,109,86
ENSMUSG00000034189,68,57
ENSMUSG00000034190,101,76
ENSMUSG00000034192,318,218
ENSMUSG00000034194,54,45
ENSMUSG00000034201,3,0
ENSMUSG00000034203,302,205
ENSMUSG00000034206,64,35
ENSMUSG00000034210,133,103
ENSMUSG00000034211,145,101
ENSMUSG00000034216,82,78
ENSMUSG00000034218,176,123
ENSMUSG00000034220,1,2
ENSMUSG00000034235,43,20
ENSMUSG00000034243,203,201
ENSMUSG00000034247,21,31
ENSMUSG00000034248,135,162
ENSMUSG00000034252,194,177
ENSMUSG00000034254,25,23
ENSMUSG00000034255,57,45
ENSMUSG00000034259,103,93
ENSMUSG00000034263,77,66
ENSMUSG00000034265,3,5
ENSMUSG00000034266,18,23
ENSMUSG00000034269,538,420
ENSMUSG00000034271,8,12
ENSMUSG00000034274,120,87
ENSMUSG00000034278,26,10
ENSMUSG00000034282,4,5
ENSMUSG00000034285,76,66
ENSMUSG00000034290,185,186
ENSMUSG00000034292,11,13
ENSMUSG00000034297,219,220
ENSMUSG00000034300,65,72
ENSMUSG00000034303,47,30
ENSMUSG00000034308,5,12
ENSMUSG00000034310,77,65
ENSMUSG00000034311,123,144
ENSMUSG00000034312,116,99
ENSMUSG00000034317,214,202
ENSMUSG00000034320,41,34
ENSMUSG00000034321,156,99
ENSMUSG00000034327,22,10
ENSMUSG00000034329,92,73
ENSMUSG00000034330,722,582
ENSMUSG00000034333,16,23
ENSMUSG00000034334,9,11
ENSMUSG00000034341,153,105
ENSMUSG00000034342,344,373
ENSMUSG00000034343,111,103
ENSMUSG00000034345,116,113
ENSMUSG00000034349,874,626
ENSMUSG00000034353,1021,778
ENSMUSG00000034354,230,196
ENSMUSG00000034361,66,55
ENSMUSG00000034371,32,29
ENSMUSG00000034377,27,23
ENSMUSG00000034379,14,10
ENSMUSG00000034390,141,185
ENSMUSG00000034401,47,54
ENSMUSG00000034403,36,36
ENSMUSG00000034412,31,18
ENSMUSG00000034413,2,13
ENSMUSG00000034416,11,2
ENSMUSG00000034422,8,14
ENSMUSG00000034424,165,124
ENSMUSG00000034427,16,12
ENSMUSG00000034429,18,19
ENSMUSG00000034430,34,18
ENSMUSG00000034432,184,120
ENSMUSG00000034438,1,0
ENSMUSG00000034442,40,29
ENSMUSG00000034445,127,132
ENSMUSG00000034449,32,22
ENSMUSG00000034453,69,49
ENSMUSG00000034459,3,1
ENSMUSG00000034462,35,18
ENSMUSG00000034463,3,6
ENSMUSG00000034471,3,1
ENSMUSG00000034473,50,24
ENSMUSG00000034480,36,32
ENSMUSG00000034484,146,101
ENSMUSG00000034487,29,20
ENSMUSG00000034488,16,14
ENSMUSG00000034501,25,27
ENSMUSG00000034509,26,58
ENSMUSG00000034518,135,110
ENSMUSG00000034522,16,20
ENSMUSG00000034525,142,108
ENSMUSG00000034538,1,5
ENSMUSG00000034543,209,130
ENSMUSG00000034544,192,121
ENSMUSG00000034560,99,100
ENSMUSG00000034566,130,101
ENSMUSG00000034570,2,1
ENSMUSG00000034574,6,14
ENSMUSG00000034575,31,44
ENSMUSG00000034586,3,0
ENSMUSG00000034587,22,16
ENSMUSG00000034593,277,276
ENSMUSG00000034595,104,98
ENSMUSG00000034601,136,108
ENSMUSG00000034602,68,88
ENSMUSG00000034610,174,182
ENSMUSG00000034612,34,31
ENSMUSG00000034613,29,29
ENSMUSG00000034614,52,74
ENSMUSG00000034616,8,7
ENSMUSG00000034617,63,62
ENSMUSG00000034620,80,26
ENSMUSG00000034621,144,194
ENSMUSG00000034636,112,116
ENSMUSG00000034639,4,12
ENSMUSG00000034640,73,41
ENSMUSG00000034641,6,1
ENSMUSG00000034647,174,152
ENSMUSG00000034652,31,33
ENSMUSG00000034653,27,46
ENSMUSG00000034656,6,9
ENSMUSG00000034659,42,45
ENSMUSG00000034663,122,70
ENSMUSG00000034664,0,1
ENSMUSG00000034667,148,131
ENSMUSG00000034673,40,24
ENSMUSG00000034674,17,18
ENSMUSG00000034675,36,41
ENSMUSG00000034681,95,93
ENSMUSG00000034707,184,129
ENSMUSG00000034708,195,188
ENSMUSG00000034709,77,72
ENSMUSG00000034714,35,32
ENSMUSG00000034723,116,132
ENSMUSG00000034724,400,274
ENSMUSG00000034729,178,102
ENSMUSG00000034731,46,26
ENSMUSG00000034738,3,4
ENSMUSG00000034744,37,35
ENSMUSG00000034748,26,14
ENSMUSG00000034751,34,32
ENSMUSG00000034757,86,81
ENSMUSG00000034758,54,18
ENSMUSG00000034761,45,33
ENSMUSG00000034764,12,3
ENSMUSG00000034765,32,45
ENSMUSG00000034771,3,2
ENSMUSG00000034773,42,43
ENSMUSG00000034781,43,23
ENSMUSG00000034786,18,9
ENSMUSG00000034789,66,35
ENSMUSG00000034792,84,34
ENSMUSG00000034793,251,206
ENSMUSG00000034795,1,4
ENSMUSG00000034799,13,6
ENSMUSG00000034800,24,13
ENSMUSG00000034801,149,141
ENSMUSG00000034807,476,412
ENSMUSG00000034820,110,75
ENSMUSG00000034826,48,54
ENSMUSG00000034832,244,222
ENSMUSG00000034833,228,214
ENSMUSG00000034845,2,7
ENSMUSG00000034848,43,42
ENSMUSG00000034850,58,67
ENSMUSG00000034853,32,19
ENSMUSG00000034854,25,31
ENSMUSG00000034858,10,4
ENSMUSG00000034863,19,15
ENSMUSG00000034867,79,56
ENSMUSG00000034868,248,209
ENSMUSG00000034875,135,72
ENSMUSG00000034880,167,96
ENSMUSG00000034883,32,40
ENSMUSG00000034889,79,61
ENSMUSG00000034892,12,16
ENSMUSG00000034893,109,64
ENSMUSG00000034902,120,102
ENSMUSG00000034903,25,13
ENSMUSG00000034906,211,148
ENSMUSG00000034908,164,89
ENSMUSG00000034917,10,18
ENSMUSG00000034926,254,270
ENSMUSG00000034928,148,128
ENSMUSG00000034931,122,89
ENSMUSG00000034932,109,80
ENSMUSG00000034940,117,80
ENSMUSG00000034947,6,11
ENSMUSG00000034951,76,59
ENSMUSG00000034957,58,73
ENSMUSG00000034959,1,3
ENSMUSG00000034973,42,51
ENSMUSG00000034974,45,47
ENSMUSG00000034987,25,39
ENSMUSG00000034993,53,56
ENSMUSG00000034994,4480,4019
ENSMUSG00000034997,8,5
ENSMUSG00000034998,71,106
ENSMUSG00000035004,31,24
ENSMUSG00000035007,45,25
ENSMUSG00000035011,116,86
ENSMUSG00000035021,396,268
ENSMUSG00000035024,301,300
ENSMUSG00000035027,238,223
ENSMUSG00000035047,19,11
ENSMUSG00000035048,33,31
ENSMUSG00000035049,98,94
ENSMUSG00000035051,21,12
ENSMUSG00000035062,17,4
ENSMUSG00000035064,166,169
ENSMUSG00000035069,35,50
ENSMUSG00000035078,76,67
ENSMUSG00000035085,4,3
ENSMUSG00000035086,177,149
ENSMUSG00000035093,88,94
ENSMUSG00000035105,166,164
ENSMUSG00000035109,3,1
ENSMUSG00000035125,40,23
ENSMUSG00000035126,8,4
ENSMUSG00000035131,21,13
ENSMUSG00000035133,35,19
ENSMUSG00000035139,84,55
ENSMUSG00000035142,18,19
ENSMUSG00000035150,25,11
ENSMUSG00000035151,42,42
ENSMUSG00000035152,163,171
ENSMUSG00000035158,1,5
ENSMUSG00000035161,140,111
ENSMUSG00000035164,4,0
ENSMUSG00000035165,17,18
ENSMUSG00000035171,89,40
ENSMUSG00000035172,0,5
ENSMUSG00000035173,76,82
ENSMUSG00000035181,92,70
ENSMUSG00000035198,103,83
ENSMUSG00000035199,116,77
ENSMUSG00000035202,4321,4141
ENSMUSG00000035203,63,47
ENSMUSG00000035206,75,54
ENSMUSG00000035208,35,17
ENSMUSG00000035212,63,60
ENSMUSG00000035215,49,15
ENSMUSG00000035227,579,459
ENSMUSG00000035232,136,105
ENSMUSG00000035234,57,44
ENSMUSG00000035235,14,1
ENSMUSG00000035236,26,21
ENSMUSG00000035239,3,1
ENSMUSG00000035242,80,69
ENSMUSG00000035245,30,10
ENSMUSG00000035246,2,0
ENSMUSG00000035247,453,402
ENSMUSG00000035248,108,152
ENSMUSG00000035266,21,15
ENSMUSG00000035268,153,130
ENSMUSG00000035273,9,8
ENSMUSG00000035278,63,81
ENSMUSG00000035284,107,105
ENSMUSG00000035293,102,82
ENSMUSG00000035297,387,364
ENSMUSG00000035298,0,7
ENSMUSG00000035299,7,7
ENSMUSG00000035310,46,47
ENSMUSG00000035311,176,246
ENSMUSG00000035325,327,287
ENSMUSG00000035329,48,58
ENSMUSG00000035337,6,12
ENSMUSG00000035351,105,93
ENSMUSG00000035354,168,107
ENSMUSG00000035356,25,9
ENSMUSG00000035365,47,20
ENSMUSG00000035367,17,16
ENSMUSG00000035372,6,3
ENSMUSG00000035376,25,43
ENSMUSG00000035378,34,41
ENSMUSG00000035382,74,50
ENSMUSG00000035392,70,43
ENSMUSG00000035397,5,8
ENSMUSG00000035399,36,11
ENSMUSG00000035401,108,104
ENSMUSG00000035437,123,130
ENSMUSG00000035439,70,59
ENSMUSG00000035443,187,152
ENSMUSG00000035455,170,166
ENSMUSG00000035469,17,22
ENSMUSG00000035476,29,24
ENSMUSG00000035478,324,294
ENSMUSG00000035493,34,19
ENSMUSG00000035495,72,67
ENSMUSG00000035504,20,8
ENSMUSG00000035505,52,42
ENSMUSG00000035513,44,19
ENSMUSG00000035517,9,15
ENSMUSG00000035521,29,41
ENSMUSG00000035529,85,65
ENSMUSG00000035530,180,169
ENSMUSG00000035539,6,2
ENSMUSG00000035545,173,107
ENSMUSG00000035547,44,64
ENSMUSG00000035559,73,32
ENSMUSG00000035561,14,11
ENSMUSG00000035569,536,422
ENSMUSG00000035572,51,31
ENSMUSG00000035575,180,192
ENSMUSG00000035578,12,1
ENSMUSG00000035585,56,47
ENSMUSG00000035595,23,19
ENSMUSG00000035596,77,86
ENSMUSG00000035597,144,132
ENSMUSG00000035601,15,27
ENSMUSG00000035614,129,89
ENSMUSG00000035620,36,14
ENSMUSG00000035621,111,117
ENSMUSG00000035623,132,135
ENSMUSG00000035629,33,26
ENSMUSG00000035632,84,76
ENSMUSG00000035637,53,45
ENSMUSG00000035640,0,0
ENSMUSG00000035642,16,18
ENSMUSG00000035649,158,125
ENSMUSG00000035666,121,103
ENSMUSG00000035671,64,81
